timestamp,ticker,market,price,change_pct,rel_volume,volume,avg_volume_20d,above_20d_high,above_50d_high,extension_5d_pct,rsi14,ema20_dist_pct,ema50_dist_pct,macd_hist_pct,bb_percent_b,score,source,reasons,warnings,one_day_return,three_day_return,five_day_return,ten_day_return,twenty_one_day_return,notes
2026-07-01T18:12:08+0200,CELH,US,31.8500,8.7031,0.4880,203525,417031.0500,true,false,4.4948,,,,,,40,alpaca,daily move 8.70% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (4.49%),relative volume below trigger (0.4880x),5.8399,2.5432,-3.9717,-4.3485,,
2026-07-01T18:12:08+0200,GRAB,US,3.9050,3.8564,0.3414,894432,2620011.6000,true,false,1.1658,,,,,,50,alpaca,daily move 3.86% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (1.17%); liquidity comfortably above floor,relative volume below trigger (0.3414x),-0.5122,0.6402,-2.1767,-5.2497,,
2026-07-01T18:12:08+0200,TOST,US,29.0150,4.2393,0.5126,476861,930354.5000,true,false,1.4510,,,,,,50,alpaca,daily move 4.24% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (1.45%); liquidity comfortably above floor,relative volume below trigger (0.5126x),-0.0172,2.3953,-1.1546,4.7906,,
2026-07-01T18:34:33+0200,S,US,17.7400,4.5066,0.4384,207328,472966.7500,true,false,3.0497,,,,,,40,alpaca,daily move 4.51% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (3.05%),relative volume below trigger (0.4384x),1.3529,2.2548,3.8050,11.6685,,
2026-07-01T19:28:26+0200,SOFI,US,18.7150,4.2909,0.8226,1530277,1860226.0500,true,false,1.5464,,,,,,50,alpaca,daily move 4.29% inside target range; breaking above 20-day high; price above today's open; not too extended vs 5-day high (1.55%); liquidity comfortably above floor,relative volume below trigger (0.8226x),-0.6145,-4.1945,-3.0457,-5.5036,,
2026-07-01T22:52:59+0200,GIS,US,37.8050,8.5571,2.1354,1565388,733073.7500,true,true,3.4620,,,,,,59,alpaca+finviz_manual,"relative volume 2.14x; daily move 8.56% inside target range; breaking above 20-day high; also above 50-day high; not too extended vs 5-day high (3.46%); General Mills; +7.72%, $20.01B cap, price $37.49. Defensive large-cap context seed; may be less explosive.",,-1.4284,-1.7590,-4.4968,2.6848,,
2026-07-01T22:52:59+0200,HIMS,US,37.5400,8.4501,2.3319,1368455,586844.3000,true,true,5.8956,,,,,,56,alpaca,relative volume 2.33x; daily move 8.45% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (5.90%),,-1.6782,-0.5061,-3.7960,-4.7416,,
2026-07-01T22:52:59+0200,PLTR,US,125.7100,7.7207,2.0299,2162400,1065284.9500,false,false,5.6120,,,,,,49,alpaca,relative volume 2.03x; daily move 7.72% inside target range; price above today's open; not too extended vs 5-day high (5.61%); liquidity comfortably above floor,,4.9797,7.9787,0.5727,5.4888,,
2026-07-02T16:14:02+0200,HOOD,US,119.8400,10.2687,3.7573,413851,975471.5500,true,true,9.4229,,,,,,70,alpaca,relative volume 3.76x pace (session 11% elapsed); daily move 10.27% inside target range; breaking above 20-day high; also above 50-day high; price above today's open; not too extended vs 5-day high (9.42%); liquidity comfortably above floor,,-2.2280,-8.5948,-6.2959,-15.4790,,
2026-07-02T16:14:02+0200,OWL,US,9.1750,6.3152,4.6201,769530,1475100.9500,false,false,3.0899,,,,,,60,alpaca+finviz_manual,"relative volume 4.62x pace (session 11% elapsed); daily move 6.32% inside target range; not too extended vs 5-day high (3.09%); liquidity comfortably above floor; Blue Owl Capital; +9.49%, $14.75B cap, price $9.46. Financial/asset-management momentum seed; above normal market-cap target.",,3.3787,0.3270,2.7248,3.1063,,
2026-07-02T16:14:02+0200,PLTR,US,131.9700,4.9463,2.8767,367323,1130841.0500,false,false,2.9166,,,,,,64,alpaca+finviz_manual,"relative volume 2.88x pace (session 11% elapsed); daily move 4.95% inside target range; price above today's open; not too extended vs 5-day high (2.92%); liquidity comfortably above floor; Palantir; +4.40%, $314.67B cap, price $131.26. Very large-cap software/AI theme; liquid but outside normal market-cap target.",,1.0305,-2.7052,-4.4518,0.0758,,
