as_of,ticker,company,market,exchange,currency,price,market_cap,avg_volume_20d,avg_dollar_volume,change_pct,rel_volume,score,discovery_seed,discovery_seed_source,legacy_seed_tag,break_20d_high,extension_5d_pct,rsi14,ema20_dist_pct,ema50_dist_pct,macd_hist_pct,bb_percent_b,market_regime,signal_source,signal_timestamp,data_source,notes
2026-07-09T18:07:52+0200,QIA.DE,,EU-XETRA,XETRA,EUR,36.67,,719921.15,26399508.57,10.6184,2.7443,68,false,,false,true,4.5325,69.32,8.58,10.63,0.1863,1.090,mixed,yahoo,2026-07-09T18:07:52+0200,yahoo,
2026-07-09T18:14:23+0200,RIVN,,US,US,USD,17.915,,1768257.7,31678336.7,7.5976,2.6968,53,false,,true,false,-11.2899,56.01,7.02,11.15,0.7465,0.774,mixed,alpaca,2026-07-09T18:14:23+0200,alpaca,legacy manual-seed tag removed from quantitative score
